case,order,element,n_dof,n_elems,n_iters,converged,warp_max_disp_m,ccx_max_disp_m,rel_err_disp,warp_max_vm_Pa,ccx_max_vm_Pa,rel_err_vm,vm_region,warp_wall_s,ccx_wall_s,speedup,warp_cpu_pct,warp_gpu_pct,disp_pass,vm_pass,cpu_pass,pass
cantilever,1,C3D4,2217,2395,536,True,0.0016859307143961973,0.001685930749565284,2.086033878854467e-08,255255139.90330532,255255158.03491503,7.103327449935655e-08,,0.020863033831119537,0.09199347905814648,4.409400847585645,5.078125,20.0,True,True,True,True
cantilever,2,C3D10,13452,2395,1488,True,0.002079279581517189,0.0020792795139713233,3.248522632396756e-08,292414593.7850822,292414626.90278757,1.1325598071454783e-07,,0.1058854516595602,0.5304461810737848,5.009622877930953,6.249687499999999,84.0,True,True,True,True
pressure_cylinder,1,C3D4,11979,17450,426,True,2.169097000898991e-07,2.1690972934951626e-07,1.3489306010898812e-07,2473709.8734005713,2473709.75183435,4.9143284101066155e-08,bore,0.017499474808573723,0.5434662122279406,31.056144151347546,3.90625,0.0,True,True,True,True
pressure_cylinder,2,C3D10,83232,17450,1088,True,2.1992644422351646e-07,2.1992640841904274e-07,1.6280206627242467e-07,2982614.0327006956,2982614.0475793025,4.988445253743917e-09,bore,0.140991834923625,9.453512109816074,67.05006793433836,4.575223214285714,84.0,True,True,True,True
plate_with_hole,1,C3D4,35973,51223,2058,True,5.407637754015655e-06,5.407637679985175e-06,1.3689985178602655e-08,15925814.720397912,15925812.782033896,1.2171209359429617e-07,hole_surface,0.07804408669471741,1.9055692479014397,24.41657438257167,4.3779296875,0.0,True,True,True,True
plate_with_hole,2,C3D10,247566,51223,5567,True,5.418885032629359e-06,5.418884747768584e-06,5.256815529925245e-08,15316737.64303734,15316734.38309146,2.1283556907259325e-07,hole_surface,1.0161590576171875,38.06391853094101,37.45862249183497,4.815715843023255,100.0,True,True,True,True
hccx_bracket,1,C3D4,3645,3876,365,True,4.937459229645885e-06,4.937458920094969e-06,6.269437791557795e-08,20226502.234465744,20226504.30944016,1.0258690192910574e-07,payload_face,0.015415912494063377,0.12347455136477947,8.009551910231014,5.077343750000001,0.0,True,True,True,True
hccx_bracket,2,C3D10,22119,3876,1045,True,8.127049504723075e-06,8.127049159481104e-06,4.2480605710044577e-08,31695079.538106643,31695078.527069308,3.189887458194136e-08,mounting_holes,0.08107168972492218,0.8929104115813971,11.013837439568109,4.719531249999999,59.25,True,True,True,True
self_weight,1,C3D4,2217,2395,522,True,1.9609683655042297e-06,1.9609682850363657e-06,4.1034760549082947e-08,384908.9889242969,384909.017865764,7.519041049127312e-08,,0.0202152319252491,0.08822412602603436,4.364240111232225,5.33828125,0.0,True,True,True,True
self_weight,2,C3D10,13452,2395,1370,True,2.4157600890518094e-06,2.4157602730260437e-06,7.61558323493204e-08,453321.8377019899,453321.8585720166,4.6037988841774634e-08,,0.09837104752659798,0.5216829013079405,5.303215879315362,7.614687499999998,63.2,True,True,True,True
orthotropic_beam,1,C3D4,2217,2395,429,True,0.0028254662316096035,0.002825465838952808,1.389706398568672e-07,346993694.5112492,346993708.03649855,3.8978370641144965e-08,,0.01644100807607174,0.0821553934365511,4.99698029807066,4.817187499999999,0.0,True,True,True,True
orthotropic_beam,2,C3D10,13452,2395,1095,True,0.0032129147812409607,0.0032129143177442514,1.4426052595591495e-07,311679740.1421215,311679725.2766185,4.7694802733609764e-08,,0.07890901155769825,0.5059290695935488,6.411549956162023,4.71953125,1.0,True,True,True,True
bimaterial_assembly,1,C3D4,1770,1788,475,True,0.0019870936069036637,0.0019870934818894655,6.291309359703772e-08,267610480.72268423,267610489.99784428,3.465917963270573e-08,,0.01810874231159687,0.06654699891805649,3.6748548172470086,5.3375,0.0,True,True,True,True
bimaterial_assembly,2,C3D10,10443,1788,1318,True,0.0025485148971649777,0.002548514417785204,1.8810165262499793e-07,280596605.61507076,280596594.0064512,4.137120627510262e-08,,0.09832998737692833,0.38382176496088505,3.9034050059376204,4.270625,71.0,True,True,True,True
